City,Status,District,Population,Area,Density
Sultan Pur,Census Town,South,15160,2.9,5227.586206896552
Sultan Pur Majra,Census Town,North West,181554,2.8,64840.71428571429
Taj Pul,Census Town,South,68796,1.2,57330.0
Tigri,Census Town,South,46974,1.1,42703.63636363636
Tikri Kalan,Census Town,West,16313,9.68,1685.2272727272727
Tikri Khurd,Census Town,North West,13772,3.92,3513.265306122449
Tilang Pur Kotla,Census Town,West,13614,0.82,16602.439024390245
Tukhmir Pur,Census Town,North East,5658,0.4,14145.0
Ujwa,Census Town,South West,4856,6.99,694.7067238912732
Ziauddin Pur,Census Town,North East,68993,1.8,38329.444444444445
