City,Status,District,Population,Area,Density,Longitude,latitude
Mitraon,Census Town,South West,6512,8.79,740.8418657565416,28.610170082916284,76.94720860911451
Mohammad Pur Majri,Census Town,North West,17462,3.21,5439.8753894081,28.727508471371017,77.03887257361524
Molar Band,Census Town,South,91402,4.1,22293.17073170732,28.50507454411456,77.31093455904627
Moradabad Pahari,Census Town,South West,21502,1.19,18068.90756302521,28.56330498445039,77.14929349155503
Mubarak Pur Dabas,Census Town,North West,12043,2.35,5124.680851063829,28.70760667827417,77.03271631611864
Mukand Pur,Census Town,North,57135,2.53,22583.00395256917,28.7393274209311,77.18232045919873
Mukhmel Pur,Census Town,North West,4931,2.6,1896.5384615384612,28.78691751210952,77.15836135922984
Mundka,Census Town,West,54541,11.9,4583.27731092437,28.679796339197186,77.01622151604582
Mustafabad,Census Town,North East,127167,1.3,97820.76923076923,28.71327924747406,77.27176051613354
Nangli Sakrawati,Census Town,South West,37706,3.07,12282.084690553747,28.62228468894906,77.00384611589537
Nangloi Jat,Census Town,West,205596,6.7,30685.97014925373,28.67891592289403,77.06575962360745
Neb Sarai,Census Town,South,15640,2.36,6627.118644067797,28.50629600152653,77.20578355904706
New Delhi,Municipal Corporation,,257803,42.74,6031.890500701918,28.56223988282995,77.12190349155503
Nilothi,Census Town,West,43371,3.88,11178.092783505155,28.648715360601603,77.05977756596448
Nithari,Census Town,North West,50464,2.29,22036.681222707422,28.7058964553061,77.05563057361172
Pehlad Pur Bangar,Census Town,North West,22968,4.7,4886.808510638298,28.75002459024811,77.07960407361898
Pooth Kalan,Census Town,North West,96002,7.0,13714.57142857143,28.71111897126635,77.07810062361254
Pooth Khurd,Census Town,North West,10654,10.0,1065.4,28.76995260825959,77.05126905921875
Pul Pehlad,Census Town,South,69657,2.2,31662.272727272724,28.49771498476103,77.30063219155245
Qadi Pur,Census Town,North West,18369,5.3,3465.849056603773,28.771209854893264,77.16622536628556
Quammruddin Nagar,Census Town,West,25126,2.4,10469.166666666668,28.66821203663849,77.05208960915228
Qutab Garh,Census Town,North West,7639,5.66,1349.6466431095405,28.8024667871328,76.95512981636772
Raja Pur Khurd,Census Town,West,19312,1.9,10164.21052631579,28.635670438240744,77.03264320913111
Rajokri,Census Town,South West,19148,8.6,2226.5116279069766,28.510340279659715,77.11172351560343
Raj Pur Khurd,Census Town,South,11161,0.74,15082.432432432432,28.491059909092805,77.19123465903718
Rani Khera,Census Town,North West,16402,3.16,5190.506329113924,28.70151068986611,77.01369960917401
Roshan Pura (Dichaon Khurd),Census Town,South West,57217,2.8,20434.64285714286,28.600985077000956,76.97581555910851
Sadat Pur Gujran,Census Town,North East,97641,1.1,88764.54545454544,28.721490225738048,77.2554417915615
Sahibabad Daulat Pur,Census Town,North West,54773,5.7,9609.298245614034,28.749333368334824,77.11821099156268
Saidabad,Census Town,South,10168,2.19,4642.922374429224,28.52601912775437,77.29062619155353
Saidul Azaib,Census Town,South,17914,1.2,14928.333333333334,28.532846977961523,77.08782067358369
Sambhalka,Census Town,South West,17076,3.0,5692.0,28.656619804844592,77.03703802360367
Sambhalka,Census Town,South West,17076,3.0,5692.0,28.656676292761826,77.0368019892084
Shafi Pur Ranhola,Census Town,West,31944,4.33,7377.367205542725,28.62799624148327,77.2791095591261
Shakar Pur Baramad,Census Town,East,1178,0.07,16828.571428571428,28.75722558038852,77.13274795921043
Siras Pur,Census Town,North West,30445,4.3,7080.232558139535,28.4954878859516,77.16169215904004
Sultan Pur,Census Town,South,15160,2.9,5227.586206896552,28.695688999209185,77.08066739696896
Sultan Pur Majra,Census Town,North West,181554,2.8,64840.71428571429,28.511094111879885,77.23903192358006
Taj Pul,Census Town,South,68796,1.2,57330.0,28.6814439673694,76.96535515916092
Tigri,Census Town,South,46974,1.1,42703.63636363636,28.83084578127567,77.11763020925862
Tikri Kalan,Census Town,West,16313,9.68,1685.2272727272727,28.646294302988927,77.02638960913801
Tikri Khurd,Census Town,North West,13772,3.92,3513.265306122449,28.707211224679227,77.26279010917771
Tilang Pur Kotla,Census Town,West,13614,0.82,16602.439024390245,28.56402590217221,76.91106955908452
Tukhmir Pur,Census Town,North East,5658,0.4,14145.0,28.70741225421473,77.2693378915609
